,C,Thread Number,Image Size
0,0.9138,1,performance_True_5000_5000_0.bin
1,0.4512,2,performance_True_5000_5000_0.bin
2,0.2341,4,performance_True_5000_5000_0.bin
3,0.1871,8,performance_True_5000_5000_0.bin
4,0.0092,1,performance_True_500_500_0.bin
5,0.0047,2,performance_True_500_500_0.bin
6,0.0023,4,performance_True_500_500_0.bin
7,0.0023,8,performance_True_500_500_0.bin
8,0.0355,1,performance_True_1000_1000_0.bin
9,0.0181,2,performance_True_1000_1000_0.bin
10,0.0094,4,performance_True_1000_1000_0.bin
11,0.008,8,performance_True_1000_1000_0.bin
12,0.8908,1,performance_True_5000_5000_0.bin
13,0.4513,2,performance_True_5000_5000_0.bin
14,0.2379,4,performance_True_5000_5000_0.bin
15,0.1935,8,performance_True_5000_5000_0.bin
16,0.0092,1,performance_True_500_500_0.bin
17,0.0047,2,performance_True_500_500_0.bin
18,0.0024,4,performance_True_500_500_0.bin
19,0.0022,8,performance_True_500_500_0.bin
20,0.0355,1,performance_True_1000_1000_0.bin
21,0.0182,2,performance_True_1000_1000_0.bin
22,0.0095,4,performance_True_1000_1000_0.bin
23,0.0082,8,performance_True_1000_1000_0.bin
24,0.8885,1,performance_True_5000_5000_0.bin
25,0.4516,2,performance_True_5000_5000_0.bin
26,0.2336,4,performance_True_5000_5000_0.bin
27,0.1845,8,performance_True_5000_5000_0.bin
28,0.0091,1,performance_True_500_500_0.bin
29,0.0047,2,performance_True_500_500_0.bin
30,0.0025,4,performance_True_500_500_0.bin
31,0.0022,8,performance_True_500_500_0.bin
32,0.0361,1,performance_True_1000_1000_0.bin
33,0.0182,2,performance_True_1000_1000_0.bin
34,0.0095,4,performance_True_1000_1000_0.bin
35,0.008,8,performance_True_1000_1000_0.bin
36,0.8892,1,performance_True_5000_5000_0.bin
37,0.4505,2,performance_True_5000_5000_0.bin
38,0.2331,4,performance_True_5000_5000_0.bin
39,0.1929,8,performance_True_5000_5000_0.bin
40,0.0092,1,performance_True_500_500_0.bin
41,0.0047,2,performance_True_500_500_0.bin
42,0.0024,4,performance_True_500_500_0.bin
43,0.0021,8,performance_True_500_500_0.bin
44,0.0353,1,performance_True_1000_1000_0.bin
45,0.0184,2,performance_True_1000_1000_0.bin
46,0.0093,4,performance_True_1000_1000_0.bin
47,0.008,8,performance_True_1000_1000_0.bin
48,0.8891,1,performance_True_5000_5000_0.bin
49,0.453,2,performance_True_5000_5000_0.bin
50,0.2342,4,performance_True_5000_5000_0.bin
51,0.1904,8,performance_True_5000_5000_0.bin
52,0.0091,1,performance_True_500_500_0.bin
53,0.0047,2,performance_True_500_500_0.bin
54,0.0026,4,performance_True_500_500_0.bin
55,0.0021,8,performance_True_500_500_0.bin
56,0.0356,1,performance_True_1000_1000_0.bin
57,0.0181,2,performance_True_1000_1000_0.bin
58,0.0094,4,performance_True_1000_1000_0.bin
59,0.008,8,performance_True_1000_1000_0.bin
